date,city,latitude,longitude,water_level_m,precipitation_mm,flood_alert_flag
2014-06-01,Thiruvananthapuram,8.5241,76.9366,3.88,165.51,Yellow
2014-06-01,Kollam,8.8932,76.6141,3.84,236.58,Red
2014-06-01,Alappuzha,9.4981,76.3388,4.18,223.08,Red
2014-06-01,Kottayam,9.5916,76.5222,2.27,193.14,Yellow
2014-06-01,Ernakulam,10.0827,76.2711,7.46,178.89,Red
2014-06-01,Thrissur,10.5276,76.2144,7.24,205.61,Red
2014-06-01,Palakkad,10.7867,76.6548,3.95,201.15,Red
2014-06-01,Malappuram,11.2588,76.3183,7.78,158.5,Red
2014-06-01,Kozhikode,11.2588,75.7804,5.5,278.71,Red
2014-06-01,Wayanad,11.6854,76.132,5.81,114.47,Yellow
2014-06-01,Kannur,11.8745,75.3704,7.49,187.6,Red
2014-06-01,Kasaragod,12.499,75.0577,6.53,138.93,Yellow
2014-06-01,Pathanamthitta,9.2646,76.7874,5.36,140.36,Yellow
2014-06-01,Idukki,9.8501,77.0166,3.54,102.36,Yellow
2014-06-02,Thiruvananthapuram,8.5241,76.9366,3.05,219.71,Red
2014-06-02,Kollam,8.8932,76.6141,4.0,108.71,Yellow
2014-06-02,Alappuzha,9.4981,76.3388,4.1,166.41,Yellow
2014-06-02,Kottayam,9.5916,76.5222,3.65,136.96,Yellow
2014-06-02,Ernakulam,10.0827,76.2711,7.27,132.91,Red
2014-06-02,Thrissur,10.5276,76.2144,5.61,242.52,Red
2014-06-02,Palakkad,10.7867,76.6548,3.3,183.7,Yellow
2014-06-02,Malappuram,11.2588,76.3183,3.31,220.21,Red
2014-06-02,Kozhikode,11.2588,75.7804,2.55,140.16,Yellow
2014-06-02,Wayanad,11.6854,76.132,3.28,204.36,Red
2014-06-02,Kannur,11.8745,75.3704,4.58,186.33,Yellow
2014-06-02,Kasaragod,12.499,75.0577,3.56,225.08,Red
2014-06-02,Pathanamthitta,9.2646,76.7874,6.78,223.32,Red
2014-06-02,Idukki,9.8501,77.0166,7.59,143.84,Red
2014-06-03,Thiruvananthapuram,8.5241,76.9366,4.61,215.96,Red
2014-06-03,Kollam,8.8932,76.6141,5.46,226.83,Red
2014-06-03,Alappuzha,9.4981,76.3388,4.93,225.21,Red
2014-06-03,Kottayam,9.5916,76.5222,5.73,168.59,Orange
2014-06-03,Ernakulam,10.0827,76.2711,7.17,190.96,Red
2014-06-03,Thrissur,10.5276,76.2144,2.87,235.17,Red
2014-06-03,Palakkad,10.7867,76.6548,2.77,174.57,Yellow
2014-06-03,Malappuram,11.2588,76.3183,7.62,192.16,Red
2014-06-03,Kozhikode,11.2588,75.7804,4.41,196.45,Yellow
2014-06-03,Wayanad,11.6854,76.132,3.95,181.77,Yellow
2014-06-03,Kannur,11.8745,75.3704,7.41,173.02,Red
2014-06-03,Kasaragod,12.499,75.0577,4.95,248.18,Red
2014-06-03,Pathanamthitta,9.2646,76.7874,2.93,277.74,Red
